Tỉnh_th,Quận_huy,Phường_,Dân_số_,Green_Area_m2,Green_Area_ha
Thủ đô Hà Nội,,Đống Đa,81358,201814.22486673988,20.181422486673988
Thủ đô Hà Nội,,Hồng Hà,123282,5506929.922762463,550.6929922762463
Thủ đô Hà Nội,,Hoàng Mai,98502,2039019.0717558917,203.90190717558917
Thủ đô Hà Nội,,Lĩnh Nam,20706,4028354.24330561,402.835424330561
Thủ đô Hà Nội,,Long Biên,62887,1.0413656178407915E7,1041.3656178407914
Thủ đô Hà Nội,,Chương Mỹ,87913,2.046373655632016E7,2046.3736556320162
Thủ đô Hà Nội,,Tương Mai,136292,346541.6900697596,34.65416900697596
Thủ đô Hà Nội,,Hà Đông,185205,1627870.174749337,162.7870174749337
Thủ đô Hà Nội,,Dương Nội,56091,2441395.6332374415,244.13956332374414
Thủ đô Hà Nội,,Kiến Hưng,70833,2308623.037584522,230.86230375845219
Thủ đô Hà Nội,,Yên Nghĩa,49643,7515297.796824527,751.5297796824527
Thủ đô Hà Nội,,Phú Lương,52024,4434962.656346159,443.4962656346159
Thủ đô Hà Nội,,Thanh Liệt,76238,1692758.4726087088,169.27584726087088
Thủ đô Hà Nội,,Tùng Thiện,42052,2.3725957949422948E7,2372.595794942295
Thủ đô Hà Nội,,Phương Liệt,81977,465985.85185436177,46.59858518543618
Thủ đô Hà Nội,,Bồ Đề,120028,3109358.1883389037,310.9358188338904
Thủ đô Hà Nội,,Thanh Xuân,106316,463813.7162502812,46.38137162502812
Thủ đô Hà Nội,,Hoàn Kiếm,105301,271158.99377749575,27.115899377749574
Thủ đô Hà Nội,,Khương Đình,86286,381765.8124413584,38.17658124413584
Thủ đô Hà Nội,,Định Công,85502,1038062.7700572594,103.80627700572593
Thủ đô Hà Nội,,Sơn Tây,71301,1.3600399323095437E7,1360.0399323095437
Thủ đô Hà Nội,,Hoàng Liệt,55820,1191048.714728262,119.1048714728262
Thủ đô Hà Nội,,Yên Sở,40913,1548055.156906487,154.8055156906487
Thủ đô Hà Nội,,Vĩnh Hưng,67561,1061767.859678919,106.1767859678919
Thủ đô Hà Nội,,Việt Hưng,83188,4148400.455251327,414.84004552513267
Thủ đô Hà Nội,,Cửa Nam,52751,353084.056113748,35.3084056113748
Thủ đô Hà Nội,,Phúc Lợi,66790,3296316.7640929874,329.63167640929873
Thủ đô Hà Nội,,Ô Chợ Dừa,71293,119782.92356618246,11.978292356618246
Thủ đô Hà Nội,,Bạch Mai,129571,330374.07082465675,33.03740708246568
Thủ đô Hà Nội,,Vĩnh Tuy,90583,242024.87082007912,24.202487082007913
Thủ đô Hà Nội,,Hai Bà Trưng,87801,570516.1102924421,57.051611029244214
Thủ đô Hà Nội,,Láng,61135,218407.80554704854,21.840780554704853
Thủ đô Hà Nội,,Văn Miếu - Quốc Tử Giám,105604,136428.11033169617,13.642811033169616
Thủ đô Hà Nội,,Kim Liên,109107,340321.1324784522,34.03211324784522
Thủ đô Hà Nội,,Ba Đình,65023,1074916.6993497063,107.49166993497063
Thủ đô Hà Nội,,Cầu Giấy,74516,575248.3720001818,57.52483720001818
Thủ đô Hà Nội,,Ngọc Hà,93536,386877.0978077907,38.687709780779066
Thủ đô Hà Nội,,Xuân Đỉnh,48658,1721276.3001604567,172.12763001604566
Thủ đô Hà Nội,,Giảng Võ,97034,357646.100595781,35.7646100595781
Thủ đô Hà Nội,,Phú Thượng,39322,1794113.3221912757,179.41133221912756
Thủ đô Hà Nội,,Tây Hồ,100122,1278267.998694805,127.8267998694805
Thủ đô Hà Nội,,Yên Hòa,77029,768537.8930897133,76.85378930897133
Thủ đô Hà Nội,,Nghĩa Đô,125568,863077.3998821185,86.30773998821185
Thủ đô Hà Nội,,Từ Liêm,119997,3002828.536843872,300.2828536843872
Thủ đô Hà Nội,,Xuân Phương,104947,4315808.174068316,431.5808174068316
Thủ đô Hà Nội,,Đại Mỗ,80462,3528911.6748022637,352.8911674802264
Thủ đô Hà Nội,,Thượng Cát,24692,7368034.75284337,736.803475284337
Thủ đô Hà Nội,,Đông Ngạc,83544,3544295.8926082538,354.42958926082537
Thủ đô Hà Nội,,Tây Tựu,39436,3908498.1434814455,390.84981434814455
Thủ đô Hà Nội,,Phú Diễn,74603,2610150.856011783,261.01508560117827
Thủ đô Hà Nội,,Tây Mỗ,46894,1882462.8951021086,188.24628951021086
thành phố Cần Thơ,,Ô Môn,73412,2.974568323976497E7,2974.568323976497
thành phố Cần Thơ,,Thới Long,52979,3.2850441389431186E7,3285.0441389431185
thành phố Cần Thơ,,Phước Thới,46788,3.1510726106948286E7,3151.0726106948287
thành phố Cần Thơ,,Phong Điền,51949,3.835737305072898E7,3835.7373050728975
thành phố Cần Thơ,,Vị Thanh,32766,1.5476174528847998E7,1547.6174528847998
thành phố Cần Thơ,,Vị Tân,36079,2.6369271830244567E7,2636.9271830244566
thành phố Cần Thơ,,Đại Thành,34594,4.6866277731382765E7,4686.627773138276
thành phố Cần Thơ,,Sóc Trăng,61253,2.938827350815364E7,2938.827350815364
thành phố Cần Thơ,,Phú Lợi,95516,1.371061472458574E7,1371.061472458574
thành phố Cần Thơ,,Ngã Năm,58588,7.242608610558915E7,7242.608610558915
thành phố Cần Thơ,,Mỹ Quới,3024,7.056313246226066E7,7056.313246226066
thành phố Cần Thơ,,Vĩnh Châu,68437,4.996569246483462E7,4996.569246483462
thành phố Cần Thơ,,Khánh Hòa,37634,4.017942986825741E7,4017.942986825741
thành phố Cần Thơ,,Vĩnh Phước,51897,4.3322034205063865E7,4332.2034205063865
thành phố Cần Thơ,,Cái Khế,57688,2225975.364415936,222.5975364415936
thành phố Cần Thơ,,Ninh Kiều,119547,807075.6067247876,80.70756067247876
thành phố Cần Thơ,,Thới An Đông,39401,1.272586707840469E7,1272.586707840469
thành phố Cần Thơ,,Long Tuyền,45292,2.0195900335074812E7,2019.5900335074812
thành phố Cần Thơ,,Cái Răng,71106,1.6333415517525947E7,1633.3415517525946
thành phố Cần Thơ,,Hưng Phú,58543,2.306622645789337E7,2306.622645789337
thành phố Cần Thơ,,Thốt Nốt,61387,8817230.79331282,881.723079331282
thành phố Cần Thơ,,Trung Nhứt,37469,1.0279994513937049E7,1027.999451393705
thành phố Cần Thơ,,Thuận Hưng,56878,1.717770985928557E7,1717.7709859285571
thành phố Cần Thơ,,Ngã Bảy,37861,1.990981984550257E7,1990.981984550257
thành phố Cần Thơ,,Long Mỹ,35865,3.586819925753036E7,3586.819925753036
thành phố Cần Thơ,,Long Bình,26378,3.2362718457799483E7,3236.2718457799483
thành phố Cần Thơ,,Long Phú 1,30365,4.583236728741705E7,4583.236728741705
thành phố Cần Thơ,,Mỹ Xuyên,51769,2.4098589947159916E7,2409.8589947159917
thành phố Huế,,Phú Xuân,130247,3799837.3354379693,379.9837335437969
thành phố Huế,,Vỹ Dạ,49684,4178395.491115196,417.8395491115196
thành phố Huế,,Thuận Hóa,98923,1861312.8027034088,186.13128027034088
thành phố Huế,,An Cựu,55305,1.0743793549188621E7,1074.3793549188622
thành phố Huế,,Hương An,35885,1.4187575888760014E7,1418.7575888760014
thành phố Huế,,Thủy Xuân,43373,3.0202950965208847E7,3020.2950965208847
thành phố Huế,,Thanh Thủy,43569,3.7486983548651256E7,3748.6983548651256
thành phố Huế,,Phong Phú,19057,3.12895031725188E7,3128.9503172518803
thành phố Huế,,Phong Dinh,28012,5.3570868937445775E7,5357.0868937445775
thành phố Huế,,Phong Điền,27862,5.679679730552838E8,56796.79730552838
thành phố Huế,,Hóa Châu,41328,2.0489681992248386E7,2048.968199224839
thành phố Huế,,Thuận An,54846,5213210.842178524,521.3210842178523
thành phố Huế,,Dương Nỗ,31692,1.586389239129082E7,1586.389239129082
thành phố Huế,,Mỹ Thượng,44736,1.45315708187582E7,1453.15708187582
thành phố Huế,,Phú Bài,38410,3.0250294480163926E8,30250.294480163924
thành phố Huế,,Hương Thủy,29192,2.791460317403385E7,2791.460317403385
thành phố Huế,,Kim Trà,36296,3.4595967525083914E7,3459.5967525083915
thành phố Huế,,Hương Trà,29979,6.010945169118239E7,6010.945169118239
thành phố Huế,,Kim Long,48999,7.774463265954652E7,7774.463265954652
thành phố Huế,,Phong Thái,37406,1.4551653049725163E8,14551.653049725162
thành phố Huế,,Phong Quảng,25728,9966376.676711468,996.6376676711468
thành phố Hải Phòng,,Lê Thanh Nghị,81500,1308717.830544535,130.87178305445352
thành phố Hải Phòng,,Thành Đông,50307,2633147.4215156706,263.3147421515671
thành phố Hải Phòng,,Thạch Khôi,34432,6950193.499455052,695.0193499455053
thành phố Hải Phòng,,Ái Quốc,24736,7797177.817563702,779.7177817563702
thành phố Hải Phòng,,Nhị Chiểu,43799,1.2793288541183472E7,1279.3288541183472
thành phố Hải Phòng,,Bắc An Phụ,22780,1.2270910796485303E7,1227.0910796485302
thành phố Hải Phòng,,Chí Linh,31983,1.0276139430885017E7,1027.6139430885016
thành phố Hải Phòng,,Chu Văn An,56251,1.8208879543619882E7,1820.8879543619882
thành phố Hải Phòng,,Trần Liễu,26696,1.0889435443354918E7,1088.9435443354919
thành phố Hải Phòng,,Hải Dương,51522,1052709.2824722289,105.27092824722288
thành phố Hải Phòng,,Ngô Quyền,88595,763952.3484317256,76.39523484317256
thành phố Hải Phòng,,Đông Hải,50748,7304289.698465592,730.4289698465592
thành phố Hải Phòng,,Thủy Nguyên,71731,1.5955278046753587E7,1595.5278046753588
thành phố Hải Phòng,,Nam Triệu,40224,1.2245344152156997E7,1224.5344152156997
thành phố Hải Phòng,,Tân Hưng,38794,4347351.290770976,434.7351290770976
thành phố Hải Phòng,,Dương Kinh,27339,1.2031684034285543E7,1203.1684034285543
thành phố Hải Phòng,,Nam Đồ Sơn,30372,1.4772690741620708E7,1477.2690741620709
thành phố Hải Phòng,,Đồ Sơn,36494,1.0568980640393902E7,1056.8980640393902
thành phố Hải Phòng,,Nam Đồng,24900,7539952.352398771,753.995235239877
thành phố Hải Phòng,,Tứ Minh,30416,4400976.784599034,440.0976784599034
thành phố Hải Phòng,,Trần Nhân Tông,27053,2.0421731731879976E7,2042.1731731879975
thành phố Hải Phòng,,Nguyễn Trãi,16098,6.880327115527868E7,6880.327115527868
thành phố Hải Phòng,,Trần Hưng Đạo,35932,3.857954264980654E7,3857.9542649806535
thành phố Hải Phòng,,Phạm Sư Mạnh,24919,7924296.317489266,792.4296317489267
thành phố Hải Phòng,,Lê Đại Hành,24638,1.2910938502055358E7,1291.0938502055358
thành phố Hải Phòng,,Nguyễn Đại Năng,29083,5123129.385039296,512.3129385039296
thành phố Hải Phòng,,Kinh Môn,24948,3674306.1892610434,367.43061892610433
thành phố Hải Phòng,,An Phong,44660,9373751.824467916,937.3751824467917
thành phố Hải Phòng,,Vĩnh Hòa,28176,6959380.419015205,695.9380419015206
thành phố Hải Phòng,,An Dương,76879,1.3288074813702418E7,1328.8074813702417
thành phố Hải Phòng,,Lưu Kiếm,49376,1.958414864574115E7,1958.414864574115
thành phố Hải Phòng,,Bạch Đằng,51633,2.5172681288226645E7,2517.2681288226645
thành phố Hải Phòng,,Hòa Bình,47168,1.0100059337009985E7,1010.0059337009985
thành phố Hải Phòng,,Hưng Đạo,37859,1.0397030964293923E7,1039.7030964293924
thành phố Hải Phòng,,Hồng Bàng,113200,2234546.0262341667,223.45460262341666
thành phố Hải Phòng,,Gia Viên,102246,564149.6195337633,56.41496195337633
thành phố Hải Phòng,,An Biên,116091,1040213.0036069384,104.02130036069384
thành phố Hải Phòng,,Lê Chân,161051,488861.3636203542,48.88613636203542
thành phố Hải Phòng,,Hải An,102648,1.1363753901293138E7,1136.3753901293137
thành phố Hải Phòng,,Kiến An,67236,3972150.624078309,397.21506240783094
thành phố Hải Phòng,,Thiên Hương,45140,7290462.480013559,729.0462480013558
thành phố Hải Phòng,,Hồng An,64771,7800355.468662934,780.0355468662934
thành phố Hải Phòng,,Lê Ích Mộc,51853,1.0722457307198862E7,1072.245730719886
thành phố Hải Phòng,,Phù Liễn,60733,9120986.908363553,912.0986908363553
thành phố Hải Phòng,,An Hải,77086,9070424.629752215,907.0424629752215
thành phố Hồ Chí Minh,,Phú Lợi,107721,6753212.475964175,675.3212475964175
thành phố Hồ Chí Minh,,Thủ Dầu Một,88132,6093498.269162554,609.3498269162554
thành phố Hồ Chí Minh,,Chánh Hiệp,56387,1.1622002424851447E7,1162.2002424851448
thành phố Hồ Chí Minh,,Bình Dương,107576,2.3968155920496523E7,2396.8155920496524
thành phố Hồ Chí Minh,,Tây Nam,56784,8.771487992784981E7,8771.487992784982
thành phố Hồ Chí Minh,,Bến Cát,97928,7.764977575811946E7,7764.977575811947
thành phố Hồ Chí Minh,,Long Nguyên,53387,8.828708286130196E7,8828.708286130195
thành phố Hồ Chí Minh,,Chánh Phú Hòa,53916,5.6966141314075306E7,5696.61413140753
thành phố Hồ Chí Minh,,Thới Hòa,79601,1.6939266298555586E7,1693.9266298555588
thành phố Hồ Chí Minh,,Hòa Lợi,79694,2.1698068960606992E7,2169.8068960606993
thành phố Hồ Chí Minh,,Phú An,46931,2.4559188596700206E7,2455.9188596700205
thành phố Hồ Chí Minh,,Tân Uyên,73032,6.248359353135567E7,6248.359353135567
thành phố Hồ Chí Minh,,Tân Khánh,126393,1.7917347675106067E7,1791.7347675106066
thành phố Hồ Chí Minh,,Bình Cơ,64601,5.950973501001969E7,5950.9735010019685
thành phố Hồ Chí Minh,,Vĩnh Tân,61865,3.9967195128615834E7,3996.7195128615836
thành phố Hồ Chí Minh,,Tân Hiệp,142494,2.237865675224891E7,2237.8656752248908
thành phố Hồ Chí Minh,,Dĩ An,227817,2989185.5060383817,298.9185506038382
thành phố Hồ Chí Minh,,Tân Đông Hiệp,100243,7535676.411435148,753.5676411435147
thành phố Hồ Chí Minh,,Đông Hòa,132056,7194833.337470829,719.4833337470828
thành phố Hồ Chí Minh,,Thuận An,64689,8928707.426586526,892.8707426586526
thành phố Hồ Chí Minh,,Lái Thiêu,118852,5667074.810370591,566.7074810370591
thành phố Hồ Chí Minh,,Thuận Giao,150781,3434920.8207372925,343.49208207372925
thành phố Hồ Chí Minh,,An Phú,162930,2464666.3863766836,246.46663863766835
thành phố Hồ Chí Minh,,Bình Hòa,120035,5243742.896735904,524.3742896735904
thành phố Hồ Chí Minh,,Tân Định,48524,137137.2674205705,13.713726742057052
thành phố Hồ Chí Minh,,Sài Gòn,47022,571135.755388746,57.113575538874606
thành phố Hồ Chí Minh,,Bến Thành,71875,399406.53166512883,39.94065316651288
thành phố Hồ Chí Minh,,Cầu Ông Lãnh,78734,131833.9211004519,13.18339211004519
thành phố Hồ Chí Minh,,Thới An,125657,6294932.99440502,629.493299440502
thành phố Hồ Chí Minh,,Hiệp Bình,215638,3826439.598331796,382.6439598331796
thành phố Hồ Chí Minh,,Tân Thới Hiệp,168060,1019810.0784390917,101.98100784390917
thành phố Hồ Chí Minh,,Diên Hồng,75633,212745.67886627797,21.274567886627796
thành phố Hồ Chí Minh,,Trung Mỹ Tây,126470,1458397.3342768948,145.83973342768948
thành phố Hồ Chí Minh,,Đông Hưng Thuận,182895,1250531.0402975641,125.05310402975641
thành phố Hồ Chí Minh,,Linh Xuân,158334,2977957.617153183,297.7957617153183
thành phố Hồ Chí Minh,,Tam Bình,153414,2484949.5041146968,248.4949504114697
thành phố Hồ Chí Minh,,Thủ Đức,118952,1645099.3373826272,164.50993373826273
thành phố Hồ Chí Minh,,Phú Thọ,47094,177091.60975452504,17.709160975452505
thành phố Hồ Chí Minh,,Long Bình,119637,1.1068637027189098E7,1106.8637027189097
thành phố Hồ Chí Minh,,Tăng Nhơn Phú,208233,7282024.852607069,728.2024852607069
thành phố Hồ Chí Minh,,Phước Long,137331,3033677.8674745155,303.36778674745153
thành phố Hồ Chí Minh,,Long Phước,53092,1.9153350950551804E7,1915.3350950551803
thành phố Hồ Chí Minh,,Long Trường,73669,1.1604595932554388E7,1160.459593255439
thành phố Hồ Chí Minh,,An Hội Đông,113681,327085.5131334791,32.70855131334791
thành phố Hồ Chí Minh,,Gò Vấp,110850,166715.16151604746,16.671516151604745
thành phố Hồ Chí Minh,,An Nhơn,111498,602706.9324953266,60.27069324953266
thành phố Hồ Chí Minh,,An Hội Tây,121004,261383.91843417296,26.138391843417295
thành phố Hồ Chí Minh,,Hạnh Thông,128865,349146.2825215358,34.914628252153584
thành phố Hồ Chí Minh,,Thông Tây Hội,121192,138765.78666336957,13.876578666336957
thành phố Hồ Chí Minh,,Bình Lợi Trung,116121,501747.49246239755,50.174749246239756
thành phố Hồ Chí Minh,,Bình Thạnh,126300,291472.2758927588,29.14722758927588
thành phố Hồ Chí Minh,,Thạnh Mỹ Tây,153217,509580.960594626,50.958096059462605
thành phố Hồ Chí Minh,,Gia Định,125946,151631.73398694803,15.163173398694804
thành phố Hồ Chí Minh,,Bình Quới,46200,3034315.9660186768,303.4315966018677
thành phố Hồ Chí Minh,,Hòa Bình,49863,32967.447321633736,3.2967447321633734
thành phố Hồ Chí Minh,,Tân Sơn Hòa,64150,287313.5761458154,28.731357614581537
thành phố Hồ Chí Minh,,Vườn Lài,104076,126219.39614410399,12.6219396144104
thành phố Hồ Chí Minh,,Tân Sơn Nhất,84639,185747.2530519074,18.57472530519074
thành phố Hồ Chí Minh,,Bảy Hiền,132252,147348.96676228842,14.734896676228841
thành phố Hồ Chí Minh,,Tân Bình,89373,58928.36712484921,5.892836712484921
thành phố Hồ Chí Minh,,Tân Hòa,93437,67866.36172772576,6.7866361727725755
thành phố Hồ Chí Minh,,Tân Sơn,77229,4299493.975273461,429.9493975273461
thành phố Hồ Chí Minh,,Tân Sơn Nhì,117277,534217.587809155,53.421758780915496
thành phố Hồ Chí Minh,,Tây Thạnh,72616,411883.77579680795,41.1883775796808
thành phố Hồ Chí Minh,,Phú Thọ Hòa,140436,113100.72425683713,11.310072425683712
thành phố Hồ Chí Minh,,Phú Thạnh,103780,90497.64334603104,9.049764334603104
thành phố Hồ Chí Minh,,Tân Phú,93117,80908.05414742863,8.090805414742864
thành phố Hồ Chí Minh,,Đức Nhuận,71495,413406.62961500575,41.34066296150058
thành phố Hồ Chí Minh,,Cầu Kiệu,62663,49315.809520108094,4.931580952010809
thành phố Hồ Chí Minh,,Phú Nhuận,68420,22876.816635161755,2.2876816635161754
thành phố Hồ Chí Minh,,An Khánh,76967,6968854.9365282245,696.8854936528224
thành phố Hồ Chí Minh,,Bình Trưng,121382,4610024.296523629,461.0024296523629
thành phố Hồ Chí Minh,,Cát Lái,68654,5397868.314498422,539.7868314498422
thành phố Hồ Chí Minh,,Hòa Hưng,96414,288615.24776180496,28.861524776180495
thành phố Hồ Chí Minh,,Nhiêu Lộc,88090,69718.17064801384,6.9718170648013835
thành phố Hồ Chí Minh,,Xuân Hòa,48464,367004.6986628813,36.700469866288124
thành phố Hồ Chí Minh,,Bàn Cờ,67634,27775.296123310163,2.7775296123310165
thành phố Hồ Chí Minh,,Bình Thới,55851,215537.0447902006,21.55370447902006
thành phố Hồ Chí Minh,,Minh Phụng,74459,66345.34404491351,6.634534404491351
thành phố Hồ Chí Minh,,Xóm Chiếu,57875,109541.0080947876,10.95410080947876
thành phố Hồ Chí Minh,,Khánh Hội,94507,38480.089014060824,3.8480089014060823
thành phố Hồ Chí Minh,,Vĩnh Hội,63015,196027.49962723677,19.602749962723678
thành phố Hồ Chí Minh,,Chợ Quán,63545,184276.5671062395,18.42765671062395
thành phố Hồ Chí Minh,,An Đông,81229,185989.72188095393,18.598972188095395
thành phố Hồ Chí Minh,,Chợ Lớn,85066,201602.3004189884,20.16023004189884
thành phố Hồ Chí Minh,,Bình Tây,63293,36733.81187693278,3.673381187693278
thành phố Hồ Chí Minh,,Phú Lâm,87513,194371.86313231225,19.437186313231226
thành phố Hồ Chí Minh,,Tân Mỹ,68124,2463778.0391111784,246.37780391111784
thành phố Hồ Chí Minh,,Bình Phú,75925,487379.2802809173,48.73792802809173
thành phố Hồ Chí Minh,,Bình Tiên,91520,116043.8269359514,11.60438269359514
thành phố Hồ Chí Minh,,Chánh Hưng,190707,426703.57067389396,42.670357067389396
thành phố Hồ Chí Minh,,Phú Định,150389,1239731.0047331266,123.97310047331266
thành phố Hồ Chí Minh,,Bình Đông,156332,3732576.545139627,373.25765451396273
thành phố Hồ Chí Minh,,Bình Hưng Hòa,187950,1248914.3790786148,124.89143790786147
thành phố Hồ Chí Minh,,An Phú Đông,179115,3705903.424868086,370.5903424868086
thành phố Hồ Chí Minh,,Bình Trị Đông,165142,467670.60144659306,46.767060144659304
thành phố Hồ Chí Minh,,Bình Tân,161851,2011536.744062207,201.1536744062207
thành phố Hồ Chí Minh,,An Lạc,172134,2175126.3496912345,217.51263496912344
thành phố Hồ Chí Minh,,Tân Tạo,113363,6873533.576620244,687.3533576620245
thành phố Hồ Chí Minh,,Tân Thuận,148090,1869783.2309223847,186.97832309223847
thành phố Hồ Chí Minh,,Tân Hưng,153674,2266148.7576197605,226.61487576197604
thành phố Hồ Chí Minh,,Phú Thuận,84089,2750021.67376709,275.002167376709
thành phố Hồ Chí Minh,,Vũng Tàu,117400,5808015.195916807,580.8015195916807
thành phố Hồ Chí Minh,,Tam Thắng,86420,3553607.5485193892,355.3607548519389
thành phố Hồ Chí Minh,,Rạch Dừa,76280,2179683.055442451,217.9683055442451
thành phố Hồ Chí Minh,,Phước Thắng,52580,1.2469371375343682E7,1246.9371375343683
thành phố Hồ Chí Minh,,Bà Rịa,52260,4857167.250554942,485.7167250554942
thành phố Hồ Chí Minh,,Tam Long,41130,2.1585174230726257E7,2158.5174230726257
thành phố Hồ Chí Minh,,Long Hương,31450,1.4615487133814167E7,1461.5487133814167
thành phố Hồ Chí Minh,,Phú Mỹ,40513,2.0844306402859677E7,2084.4306402859675
thành phố Hồ Chí Minh,,Tân Hải,30297,2.410816334198715E7,2410.816334198715
thành phố Hồ Chí Minh,,Tân Phước,29363,2.4720971024313297E7,2472.09710243133
thành phố Hồ Chí Minh,,Tân Thành,33943,4.032708584787964E7,4032.708584787964
thành phố Đà Nẵng,,Ngũ Hành Sơn,115944,1.4296945658590248E7,1429.6945658590248
thành phố Đà Nẵng,,Cẩm Lệ,78837,5164346.030417766,516.4346030417767
thành phố Đà Nẵng,,Hòa Xuân,85580,1.4221664566836517E7,1422.1664566836516
thành phố Đà Nẵng,,Bàn Thạch,36800,2.0543843157754246E7,2054.3843157754245
thành phố Đà Nẵng,,Quảng Phú,29401,2.1376746412112337E7,2137.674641211234
thành phố Đà Nẵng,,Hòa Cường,119363,4998049.470304869,499.8049470304869
thành phố Đà Nẵng,,An Khê,93625,5401997.189387004,540.1997189387004
thành phố Đà Nẵng,,Hòa Khánh,112518,2.458760483595144E7,2458.760483595144
thành phố Đà Nẵng,,Thanh Khê,201240,524271.0624484192,52.42710624484192
thành phố Đà Nẵng,,Hải Châu,131427,1184343.3512597773,118.43433512597774
thành phố Đà Nẵng,,An Hải,82635,869213.718416431,86.9213718416431
thành phố Đà Nẵng,,Sơn Trà,86890,4.267084606883859E7,4267.084606883859
thành phố Đà Nẵng,,Liên Chiểu,70628,3.02636395643429E7,3026.3639564342902
thành phố Đà Nẵng,,Hải Vân,48992,3.6779697737878305E8,36779.697737878305
thành phố Đà Nẵng,,Hội An,37222,4328123.671565785,432.8123671565785
thành phố Đà Nẵng,,An Thắng,34176,1.5597166074483383E7,1559.7166074483384
thành phố Đà Nẵng,,Hội An Tây,42370,7366072.545277674,736.6072545277674
thành phố Đà Nẵng,,Điện Bàn Bắc,30780,2.85142696354885E7,2851.42696354885
thành phố Đà Nẵng,,Hội An Đông,31109,8800010.714808926,880.0010714808926
thành phố Đà Nẵng,,Điện Bàn,41270,1.3717945368318804E7,1371.7945368318804
thành phố Đà Nẵng,,Điện Bàn Đông,72273,3.2183576852282654E7,3218.3576852282654
thành phố Đà Nẵng,,Tam Kỳ,44075,4192424.543466904,419.2424543466904
thành phố Đà Nẵng,,Hương Trà,33523,1.0220748525306134E7,1022.0748525306134
tỉnh An Giang,,Long Xuyên,154858,1.1131838752156217E7,1113.1838752156216
tỉnh An Giang,,Bình Đức,72822,1.4836056616766417E7,1483.6056616766418
tỉnh An Giang,,Mỹ Thới,6045,1.0862916657861808E7,1086.2916657861808
tỉnh An Giang,,Châu Đốc,97438,2.8637945076119702E7,2863.7945076119704
tỉnh An Giang,,Vĩnh Tế,40222,5.621684616494482E7,5621.684616494482
tỉnh An Giang,,Rạch Giá,250661,2.13331746615477E7,2133.31746615477
tỉnh An Giang,,Vĩnh Thông,55185,6.090971889118998E7,6090.971889118998
tỉnh An Giang,,Tô Châu,25865,2.7378974831473265E7,2737.8974831473265
tỉnh An Giang,,Hà Tiên,40609,2.5005679686978E7,2500.5679686978
tỉnh An Giang,,Tân Châu,33506,1.1134235015521599E7,1113.42350155216
tỉnh An Giang,,Long Phú,46826,1.4523397781863136E7,1452.3397781863137
tỉnh An Giang,,Chi Lăng,28401,4.1425059066623785E7,4142.505906662378
tỉnh An Giang,,Tịnh Biên,34865,5.041946168656699E7,5041.946168656699
tỉnh An Giang,,Thới Sơn,33045,3.707059876020769E7,3707.059876020769
tỉnh Bắc Ninh,,Chũ,58409,6.085356703025141E7,6085.3567030251415
tỉnh Bắc Ninh,,Phượng Sơn,41342,6.925960803151716E7,6925.960803151716
tỉnh Bắc Ninh,,Vũ Ninh,45480,4455222.454490183,445.52224544901827
tỉnh Bắc Ninh,,Kinh Bắc,84275,6741665.312279615,674.1665312279615
tỉnh Bắc Ninh,,Võ Cường,67255,6546984.094358226,654.6984094358227
tỉnh Bắc Ninh,,Bắc Giang,122838,7510278.016421062,751.0278016421062
tỉnh Bắc Ninh,,Đa Mai,51733,1.5093444258799473E7,1509.3444258799473
tỉnh Bắc Ninh,,Tiền Phong,36335,1.33147558064574E7,1331.4755806457401
tỉnh Bắc Ninh,,Yên Dũng,44149,1.9892721725265943E7,1989.2721725265942
