khoa,Loại,Sáp nhập từ,Diện tích (km2),Phường xã mới,Tỉnh thành mới,Dân số (người),Trung tâm hành chính,Diện tích tham khảo (m2)
29Phú Lợi,phường,"Phường Phú Hòa, Phường Phú Lợi, Phường Hiệp Thành (thành phố Thủ Dầu Một)",17.96,Phú Lợi,thành phố Hồ Chí Minh,107721,"438 đường Phú Lợi, khu phố 8, phường Phú Hòa, TP Thủ Dầu Một, tỉnh Bình Dương cũ",18071404
29Thủ Dầu Một,phường,"Phường Phú Cường, Phường Phú Thọ, Phường Chánh Nghĩa, Phường Hiệp Thành (thành phố Thủ Dầu Một), Phường Chánh Mỹ",15.68,Thủ Dầu Một,thành phố Hồ Chí Minh,88132,"1 đường Quang Trung, khu phố 6, phường Phú Cường, TP Thủ Dầu Một, tỉnh Bình Dương cũ",15637769
29Chánh Hiệp,phường,"Phường Định Hòa, Phường Tương Bình Hiệp, Phường Hiệp An, Phường Chánh Mỹ",19.66,Chánh Hiệp,thành phố Hồ Chí Minh,56387,"279 đường Hồ Văn Cống, khu phố 3, phường Tương Bình Hiệp, TP Thủ Dầu Một, tỉnh Bình Dương cũ",20579900
29Bình Dương,phường,"Phường Phú Mỹ (thành phố Thủ Dầu Một), Phường Hòa Phú, Phường Phú Tân, Phường Phú Chánh",58.16,Bình Dương,thành phố Hồ Chí Minh,107576,"357 đường Võ Nguyên Giáp, khu phố 1, phường Hòa Phú, TP Thủ Dầu Một, tỉnh Bình Dương cũ",58565275
29Tây Nam,phường,"Phường An Tây, Xã Thanh Tuyền, Xã An Lập",119.8,Tây Nam,thành phố Hồ Chí Minh,56784,"Khu phố Lồ ồ, phường An Tây, TP Bến Cát, tỉnh Bình Dương cũ",115970479
29Bến Cát,phường,"Xã Tân Hưng (huyện Bàu Bàng), Xã Lai Hưng, Phường Mỹ Phước",100.89,Bến Cát,thành phố Hồ Chí Minh,97928,"KP2, phường Mỹ Phước, TP Bến Cát, tỉnh Bình Dương cũ",100297634
29Long Nguyên,phường,"Phường An Điền, Xã Long Nguyên, Phường Mỹ Phước",108.0,Long Nguyên,thành phố Hồ Chí Minh,53387,"Khu phố Kiến An, phường An Điền, TP Bến Cát, tỉnh Bình Dương cũ",109294217
29Chánh Phú Hòa,phường,"Phường Chánh Phú Hòa, Xã Hưng Hòa",69.54,Chánh Phú Hòa,thành phố Hồ Chí Minh,53916,"đường ĐTT 741, khu phố 9, phường Chánh Phú Hòa, TP Bến Cát, tỉnh Bình Dương cũ",69620501
29Thới Hòa,phường,Không sáp nhập,37.93,Thới Hòa,thành phố Hồ Chí Minh,79601,"Khu phố 3A, phường Thới Hoà, TP Bến Cát, tỉnh Bình Dương cũ",38142097
29Hòa Lợi,phường,"Phường Tân Định (thành phố Bến Cát), Phường Hòa Lợi",33.59,Hòa Lợi,thành phố Hồ Chí Minh,79694,"Khu phố An Hoà, phường Hòa Lợi, TP Bến Cát, tỉnh Bình Dương cũ",34400489
29Phú An,phường,"Phường Tân An, Xã Phú An, Phường Hiệp An",35.19,Phú An,thành phố Hồ Chí Minh,46931,"143 đường Nguyễn Đức Cảnh, khu phố 4, phường Hiệp An, TP Thủ Dầu Một, tỉnh Bình Dương cũ",34784740
29Tân Uyên,phường,"Phường Uyên Hưng, Xã Bạch Đằng, Xã Tân Lập, Xã Tân Mỹ",87.61,Tân Uyên,thành phố Hồ Chí Minh,73032,"ĐT 747, khu phố 1, phường Uyên Hưng, TP Tân Uyên, tỉnh Bình Dương cũ",94532371
29Tân Khánh,phường,"Phường Thạnh Phước, Phường Tân Phước Khánh, Phường Tân Vĩnh Hiệp, Xã Thạnh Hội, Phường Thái Hòa",38.27,Tân Khánh,thành phố Hồ Chí Minh,126393,"Đường Lý Tự trọng, khu phố Khánh Hòa, phường Tân Phước Khánh, TP Tân Uyên, tỉnh Bình Dương cũ",38017773
29Bình Cơ,phường,"Xã Bình Mỹ (huyện Bắc Tân Uyên), Phường Hội Nghĩa",73.69,Bình Cơ,thành phố Hồ Chí Minh,64601,"ĐT 747, khu phố 2, phường Hội Nghĩa, TP Tân Uyên, tỉnh Bình Dương cũ",72999787
29Vĩnh Tân,phường,"Phường Vĩnh Tân, Thị trấn Tân Bình",61.35,Vĩnh Tân,thành phố Hồ Chí Minh,61865,"ĐT 742, khu phố 4, phường Vĩnh Tân, TP Tân Uyên, tỉnh Bình Dương cũ",61323147
29Tân Hiệp,phường,"Phường Khánh Bình, Phường Tân Hiệp",47.06,Tân Hiệp,thành phố Hồ Chí Minh,142494,"Đường Nguyễn Khuyến, khu phố Tân Bình, phường Tân Hiệp, TP Tân Uyên, tỉnh Bình Dương cũ",47253296
29Dĩ An,phường,"Phường An Bình, Phường Dĩ An, Phường Tân Đông Hiệp",21.38,Dĩ An,thành phố Hồ Chí Minh,227817,"10 Trung tâm hành chính, phường Dĩ An, tỉnh Bình Dương cũ",24160470
29Tân Đông Hiệp,phường,"Phường Tân Bình, Phường Thái Hòa, Phường Tân Đông Hiệp",21.45,Tân Đông Hiệp,thành phố Hồ Chí Minh,100243,"880 đường Nguyễn Thị Minh Khai, phường Tân Bình, tỉnh Bình Dương cũ",19161063
29Đông Hòa,phường,"Phường Bình An, Phường Bình Thắng, Phường Đông Hòa",21.89,Đông Hòa,thành phố Hồ Chí Minh,132056,"153 Quốc lộ 1K, phường Đông Hoà, tỉnh Bình Dương cũ",21971509
29Thuận An,phường,"Phường Hưng Định, Phường An Thạnh, Xã An Sơn",16.11,Thuận An,thành phố Hồ Chí Minh,64689,"289 đường Hưng Định 31, khu phố Hưng Thọ, phường Hưng Định, TP Thuận An, tỉnh Bình Dương cũ",16224861
29Lái Thiêu,phường,"Phường Bình Nhâm, Phường Lái Thiêu, Phường Vĩnh Phú",15.46,Lái Thiêu,thành phố Hồ Chí Minh,118852,"Khu phố chợ, phường Lái Thiêu, TP Thuận An, tỉnh Bình Dương cũ",15718689
29Thuận Giao,phường,"Phường Thuận Giao, Phường Bình Chuẩn",16.8,Thuận Giao,thành phố Hồ Chí Minh,150781,"743, đường Thủ Khoa Huân, phường Bình Chuẩn, TP Thuận An, tỉnh Bình Dương cũ",17175334
29An Phú,phường,"Phường An Phú (thành phố Thuận An), Phường Bình Chuẩn",16.85,An Phú,thành phố Hồ Chí Minh,162930,"ĐT743, khu phố 1A, phường An Phú, TP Thuận An, tỉnh Bình Dương cũ",16766215
29Bình Hòa,phường,"Phường Bình Hòa, Phường Vĩnh Phú",18.49,Bình Hòa,thành phố Hồ Chí Minh,120035,"ĐT 743C, khu phố Bình Đức 1, phường Bình Hoà, TP Thuận An, tỉnh Bình Dương cũ",18071000
29Tân Định,phường,"Phường Tân Định (Quận 1), Phường Đa Kao",1.23,Tân Định,thành phố Hồ Chí Minh,48524," 58B Nguyễn Đình Chiểu, phường Đa Kao, quận 1 cũ",1052764
29Sài Gòn,phường,"Phường Bến Nghé, Phường Đa Kao, Phường Nguyễn Thái Bình",3.04,Sài Gòn,thành phố Hồ Chí Minh,47022,"45 - 47 Lê Duẩn, phường Bến Nghé, quận 1 cũ",3466884
29Bến Thành,phường,"Phường Bến Thành, Phường Phạm Ngũ Lão, Phường Cầu Ông Lãnh, Phường Nguyễn Thái Bình",1.85,Bến Thành,thành phố Hồ Chí Minh,71875,"92 Nguyễn Trãi, phường Bến Thành, quận 1 cũ và 238 - 240 Đề Thám, phường Phạm Ngũ Lão, quận 1 cũ ",1628497
29Cầu Ông Lãnh,phường,"Phường Nguyễn Cư Trinh, Phường Cầu Kho, Phường Cô Giang, Phường Cầu Ông Lãnh",1.6,Cầu Ông Lãnh,thành phố Hồ Chí Minh,78734,"105 Trần Đình Xu, phường Nguyễn Cư Trinh, quận 1 cũ",1608078
29Thới An,phường,"Phường Thạnh Xuân, Phường Thới An",14.89,Thới An,thành phố Hồ Chí Minh,125657,"Trụ sở UBND phường Thới An, quận 12 cũ",14924408
29Hiệp Bình,phường,"Phường Hiệp Bình Chánh, Phường Hiệp Bình Phước, Phường Linh Đông",16.01,Hiệp Bình,thành phố Hồ Chí Minh,215638,"721 Quốc lộ 13, khu phố 3, phường Hiệp Bình Phước, TP Thủ Đức cũ",16590689
29Tân Thới Hiệp,phường,"Phường Hiệp Thành (Quận 12), Phường Tân Thới Hiệp",8.06,Tân Thới Hiệp,thành phố Hồ Chí Minh,168060,"Trụ sở UBND phường Tân Thới Hiệp, quận 12 cũ",8075815
29Diên Hồng,phường,"Phường 6, Phường 8 (Quận 10), Phường 14 (Quận 10)",1.86,Diên Hồng,thành phố Hồ Chí Minh,75633," 01A Thành Thái, phường 14, quận 10 cũ",1897665
29Trung Mỹ Tây,phường,"Phường Tân Chánh Hiệp, Phường Trung Mỹ Tây",6.92,Trung Mỹ Tây,thành phố Hồ Chí Minh,126470,"Trụ sở UBND phường Trung Mỹ Tây, quận 12 cũ",6957923
29Đông Hưng Thuận,phường,"Phường Tân Thới Nhất, Phường Tân Hưng Thuận, Phường Đông Hưng Thuận",8.26,Đông Hưng Thuận,thành phố Hồ Chí Minh,182895,"Trụ sở UBND phường Tân Thới Nhất, quận 12 cũ",8313515
29Linh Xuân,phường,"Phường Linh Trung, Phường Linh Xuân, Phường Linh Tây",12.29,Linh Xuân,thành phố Hồ Chí Minh,158334,"1262 Kha Vạn Cân, khu phố 2, phường Linh Trung và 49 Hoàng Cầm, khu phố 2, phường Linh Xuân, TP Thủ Đức cũ",12166611
29Tam Bình,phường,"Phường Bình Chiểu, Phường Tam Phú, Phường Tam Bình",10.71,Tam Bình,thành phố Hồ Chí Minh,153414,"707 Tỉnh lộ 43, khu phố 3, phường Tam Bình, TP Thủ Đức cũ",10203786
